Program started,,,,,,,,,,,,,,,,
Initialize MPU6050,,,,,,,,,,,,,,,,
 * Sleep Mode:            Disabled,,,,,,,,,,,,,,,,
 * Clock Source:          PLL with X axis gyroscope reference,,,,,,,,,,,,,,,,
 * Accelerometer:         +/- 2 g,,,,,,,,,,,,,,,,
 * Accelerometer offsets: -3540 / -3691 / 1478,,,,,,,,,,,,,,,,
 * Gyroscope:         2000 dps,,,,,,,,,,,,,,,,
 * Gyroscope offsets: 155 / 15 / 15,,,,,,,,,,,,,,,,
button pressed,,,,,,,,,,,,,,,,
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
696,-68,-616,16964,-0.03,-0.31,10.2,63,19,31,-0.09,0,0.12,98,152,188,
1395,-52,-632,16932,-0.03,-0.38,10.13,66,18,34,-0.03,0,0.12,91,156,191,
2096,-92,-708,16684,-0.13,-0.38,10.16,64,17,32,-0.09,0.3,-0.06,96,169,202,
2152,408,-696,16132,-0.19,-0.39,10.54,67,100,13,0.15,7.8,-1.1,102,195,229,9
2175,332,-296,16596,0.09,-0.32,9.98,96,86,31,3.26,4.45,0.18,136,131,319,
2189,-72,-612,17000,-0.04,-0.39,10.11,10,-47,33,-2.96,-2.99,-0.12,132,219,327,1
2199,2844,-124,13756,-0.29,-0.34,10.64,97,-181,49,-0.4,0.79,5.49,36,352,68,173
2207,1376,1352,21684,-2.54,2.06,6.77,-107,-76,109,3.14,14.14,13.29,58,631,135,
2217,-748,-644,16624,-1.43,1.04,8.76,-140,-65,82,30.76,22.99,9.82,59,191,61,25
2241,1180,-544,16560,1.14,0.09,13.09,-28,-183,-111,-24.54,-17.26,-1.1,85,201,170,441
2274,-16,-120,17324,-0.85,0.64,9.15,-236,-176,-3,-3.14,-2.93,-0.98,231,666,795,16
2322,3200,92,18872,-2.26,-1.44,8.79,-279,-80,52,-8.14,-0.86,-1.95,284,417,854,155
2336,204,-864,16928,-0.01,-0.39,10.15,-38,35,12,-2.47,1.22,-1.04,231,197,620,
