Time,ACC_X.raw,ACC_Y.raw,ACC_Z.raw,ACC_X.norm,ACC_Y.norm,ACC_Z.norm,GYRO_X.raw,GYRO_Y.raw,GYRO_Z.raw,GYRO_X.norm,GYRO_Y.norm,GYRO_Z.norm,Ceramic_Piezo,Film_Piezo,Weighted_Film_Piezo,Vibration_Sensor,Activity_Name ,New_Window
observation 1,,,,,,,,,,,,,,,,,,
697,248,-532,16848,0.05,-0.38,10.07,64,16,30,-0.05,-0.05,0.02,223,225,203,0,object_fall,
944,704,-156,17160,1.23,-0.18,2.69,67,-16,29,0.44,-0.48,-0.1,188,214,201,122,object_fall,
967,160,-524,16736,0.12,-0.32,9.93,61,22,30,-0.11,-0.11,0.02,191,201,244,43,object_fall,
1151,376,-308,16632,0.48,-0.19,7.64,71,15,31,0.08,-0.6,0.02,206,214,247,26,object_fall,
1850,108,-544,16828,0.05,-0.35,10.04,66,19,32,-0.05,-0.05,0.08,207,203,240,0,object_fall,
2551,152,-600,16856,0.15,-0.4,10.1,66,20,32,0.08,0.07,0.08,202,210,234,0,object_fall,
3250,120,-540,16888,0.11,-0.36,10.11,65,18,33,0.01,0.19,-0.04,202,213,235,0,object_fall,
3950,164,-584,16956,0.16,-0.35,10.13,67,23,32,0.01,0.38,0.14,200,213,232,0,object_fall,
4650,132,-576,16848,0.09,-0.28,10.14,65,20,32,-0.17,0.01,0.08,203,213,232,0,object_fall,
5350,160,-652,16868,0.12,-0.38,10.11,65,19,31,0.01,-0.05,-0.04,200,214,231,0,object_fall,
6050,108,-656,16964,0.1,-0.35,10.01,65,20,31,-0.05,0.13,-0.04,198,210,230,0,object_fall,
6750,208,-636,16632,0.07,-0.35,10.01,64,19,33,0.08,0.07,0.08,202,211,228,0,object_fall,
7449,176,-600,16768,0.14,-0.35,10.07,67,20,32,0.08,0.01,0.14,198,213,226,0,object_fall,
8150,144,-572,16752,0.06,-0.36,10.04,65,20,33,0.01,0.13,0.08,201,211,226,0,object_fall,
8849,120,-588,16884,0.04,-0.39,10.08,67,17,33,0.2,-0.05,0.14,200,212,225,0,object_fall,
9550,48,-592,16760,0.08,-0.34,10.08,68,22,31,0.01,0.01,-0.1,198,210,225,0,object_fall,
10249,132,-476,16852,0.09,-0.34,10.06,65,17,30,0.08,0.07,-0.1,199,211,225,0,object_fall,
observation 2,,,,,,,,,,,,,,,,,object_fall,
697,0,-560,16832,0.07,-0.39,10.11,66,19,32,0.14,0.07,0.14,195,217,212,0,object_fall,
1396,92,-656,16788,0.09,-0.39,10.09,62,21,30,-0.29,0.07,0.2,189,211,213,0,object_fall,
2052,1376,-484,2720,-2.49,-1.46,19.6,79,-31,30,0.5,-0.42,0.2,194,209,215,141,object_fall,
2067,88,-316,15344,0.06,-0.39,10.33,64,24,38,0.2,-0.11,0.14,193,217,254,69,object_fall,
2244,84,-540,16884,0.48,-0.19,9.09,67,15,32,0.08,-0.66,0.14,205,210,237,25,object_fall,
2943,172,-524,16824,0.14,-0.33,10.13,63,19,32,-0.11,0.01,0.08,200,196,229,0,object_fall,
3644,160,-492,16792,0.11,-0.33,10.08,66,21,32,0.01,0.13,0.14,195,203,226,0,object_fall,
4343,240,-692,16872,0.1,-0.38,10.06,66,20,32,0.01,-0.05,0.08,198,209,228,0,object_fall,
5044,100,-592,16876,0.05,-0.37,10.09,66,20,34,-0.05,0.07,0.08,196,208,228,0,object_fall,
5743,112,-552,16832,0.07,-0.33,10.05,68,19,31,0.14,-0.11,0.02,195,208,228,0,object_fall,
6443,80,-612,16788,0.12,-0.31,10.06,66,23,28,0.08,0.13,0.02,196,208,230,0,object_fall,
7143,196,-688,16868,0.15,-0.38,10.03,65,18,32,0.08,-0.05,0.14,200,210,230,0,object_fall,
7843,136,-592,16728,0.07,-0.34,10.03,67,18,31,0.08,-0.11,0.14,199,213,232,0,object_fall,
8543,208,-600,16772,0.13,-0.36,10.11,64,18,31,0.01,0.01,-0.04,198,209,232,0,object_fall,
9243,172,-596,16860,0.13,-0.3,10.07,68,21,33,0.14,0.07,-0.04,197,209,232,0,object_fall,
9942,80,-668,17004,0.06,-0.4,10.18,68,17,32,0.01,-0.17,0.14,198,210,231,0,object_fall,
10643,200,-540,16824,0.07,-0.33,10.08,62,16,32,-0.23,-0.11,-0.04,201,211,232,0,object_fall,
observation 3,,,,,,,,,,,,,,,,,object_fall,
697,136,-564,16812,0.09,-0.35,10.08,64,19,31,-0.05,0.25,0.14,193,183,210,0,object_fall,
1012,0,-308,15528,0.04,-0.35,10.26,70,24,33,0.2,-0.11,0.2,191,190,216,731,object_fall,
1025,2440,408,9308,-1.66,-0.91,11.34,70,-28,30,0.38,-0.36,-0.04,193,192,218,129,object_fall,
1725,104,-532,16932,0.06,-0.32,10.05,66,23,30,0.14,0.01,-0.04,197,195,221,0,object_fall,
2425,212,-584,16772,0.13,-0.35,10.03,65,20,31,-0.05,0.07,0.02,191,200,223,0,object_fall,
3124,248,-640,16852,0.1,-0.29,10.08,67,18,28,0.08,0.01,0.08,195,205,226,0,object_fall,
3825,72,-564,16848,0.11,-0.33,10.12,63,19,31,-0.23,0.13,0.02,196,206,230,0,object_fall,
4524,140,-596,16908,0.09,-0.34,10.09,66,21,27,0.08,-0.05,-0.17,199,208,231,0,object_fall,
5225,160,-564,16956,0.03,-0.36,10.09,66,18,31,0.08,-0.17,0.02,195,208,233,0,object_fall,
5924,128,-516,16740,0.08,-0.31,10.09,65,20,32,-0.05,0.25,-0.04,194,207,233,0,object_fall,
6625,208,-532,16824,0.12,-0.32,10.06,66,22,31,-0.05,0.01,-0.04,195,208,232,0,object_fall,
7325,92,-552,16892,0.11,-0.35,10.11,67,18,29,0.01,-0.05,-0.1,193,207,233,0,object_fall,
8024,100,-588,16944,0.05,-0.33,10.01,65,18,31,-0.11,-0.05,0.08,196,206,232,0,object_fall,
8725,124,-496,17028,0.07,-0.33,10.05,65,16,33,-0.05,0.01,-0.04,196,208,233,0,object_fall,
9424,96,-580,16892,0.01,-0.32,10.1,65,22,35,0.08,0.01,0.02,197,207,232,0,object_fall,
10125,156,-544,16664,0.15,-0.33,10.03,65,22,32,0.08,0.01,-0.04,200,206,232,0,object_fall,
observation 4,,,,,,,,,,,,,,,,,object_fall,
696,220,-480,16932,0.07,-0.32,10.04,67,20,29,0.14,-0.11,0.02,183,235,200,0,object_fall,
1106,2564,784,6368,-2.04,-1.51,13.84,74,-24,29,0.32,-0.3,0.08,182,219,198,137,object_fall,
1128,-76,-628,16980,0.09,-0.32,10.09,66,28,32,0.08,0.56,-0.04,189,214,202,1257,object_fall,
1829,60,-548,16832,0.05,-0.29,9.97,64,19,32,-0.11,-0.05,0.08,184,205,203,0,object_fall,
2528,124,-552,16796,0.07,-0.36,10.14,64,19,32,-0.05,0.01,0.08,186,206,204,0,object_fall,
3229,200,-584,16892,0.09,-0.34,10.09,66,18,32,-0.05,-0.11,0.14,187,207,206,0,object_fall,
3928,128,-736,16780,0.08,-0.37,10.08,62,20,29,-0.11,0.01,0.02,185,208,206,0,object_fall,
4628,172,-576,16860,0.09,-0.38,10.06,66,20,33,-0.11,0.07,0.2,186,208,208,0,object_fall,
5328,112,-540,16828,0.12,-0.34,9.99,65,19,30,0.08,0.01,0.02,187,209,210,0,object_fall,
6028,180,-608,16740,0.05,-0.35,10.07,64,17,31,0.01,-0.11,0.08,188,209,210,0,object_fall,
6729,224,-564,16904,0.07,-0.33,10.04,67,16,33,0.14,-0.11,-0.04,190,210,212,0,object_fall,
7428,76,-612,16856,0.09,-0.34,10.17,64,21,31,-0.17,0.07,0.14,189,207,214,0,object_fall,
8128,148,-552,16912,0.15,-0.28,10.05,65,21,33,-0.11,0.07,0.08,192,207,214,0,object_fall,
8828,152,-596,16832,0.08,-0.32,10.07,62,14,30,0.01,-0.11,0.08,189,206,214,0,object_fall,
9528,156,-536,16980,0.09,-0.36,10.09,64,20,31,0.01,-0.11,0.02,190,206,213,0,object_fall,
10228,180,-584,16748,0.07,-0.37,10.05,64,21,29,-0.05,-0.05,-0.04,190,208,214,0,object_fall,
observation 5,,,,,,,,,,,,,,,,,object_fall,
696,164,-628,16924,0.09,-0.35,10.1,68,23,28,-0.05,0.01,-0.04,194,225,225,0,object_fall,
902,36,-584,17168,0.02,-0.35,10.27,67,29,30,0.08,0.92,0.08,192,214,223,1721,object_fall,
1032,280,-468,16640,0.37,-0.19,9.19,65,16,32,0.2,-0.72,-0.17,191,208,216,13,object_fall,
1732,104,-540,16844,0.13,-0.37,10.09,66,18,31,-0.11,-0.05,-0.1,190,198,218,0,object_fall,
2432,140,-572,16792,0.06,-0.31,10.07,65,18,33,0.01,0.01,0.2,188,207,214,0,object_fall,
3132,64,-588,16836,0.06,-0.36,10.07,66,20,31,-0.11,-0.11,0.08,188,206,214,0,object_fall,
3832,148,-608,16792,0.07,-0.32,10.11,67,18,29,0.14,-0.05,0.02,191,206,215,0,object_fall,
