Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
697,248.00,-532.00,16848.00,0.05,-0.38,10.07,64.00,16.00,30.00,-0.05,-0.05,0.02,223,225,203 ,
944,704.00,-156.00,17160.00,1.23,-0.18,2.69,67.00,-16.00,29.00,0.44,-0.48,-0.10,188,214,201 ,122
967,160.00,-524.00,16736.00,0.12,-0.32,9.93,61.00,22.00,30.00,-0.11,-0.11,0.02,191,201,244 ,43
1151,376.00,-308.00,16632.00,0.48,-0.19,7.64,71.00,15.00,31.00,0.08,-0.60,0.02,206,214,247 ,26
1850,108.00,-544.00,16828.00,0.05,-0.35,10.04,66.00,19.00,32.00,-0.05,-0.05,0.08,207,203,240 ,
2551,152.00,-600.00,16856.00,0.15,-0.40,10.10,66.00,20.00,32.00,0.08,0.07,0.08,202,210,234 ,
3250,120.00,-540.00,16888.00,0.11,-0.36,10.11,65.00,18.00,33.00,0.01,0.19,-0.04,202,213,235 ,
3950,164.00,-584.00,16956.00,0.16,-0.35,10.13,67.00,23.00,32.00,0.01,0.38,0.14,200,213,232 ,
4650,132.00,-576.00,16848.00,0.09,-0.28,10.14,65.00,20.00,32.00,-0.17,0.01,0.08,203,213,232 ,
5350,160.00,-652.00,16868.00,0.12,-0.38,10.11,65.00,19.00,31.00,0.01,-0.05,-0.04,200,214,231 ,
6050,108.00,-656.00,16964.00,0.10,-0.35,10.01,65.00,20.00,31.00,-0.05,0.13,-0.04,198,210,230 ,
6750,208.00,-636.00,16632.00,0.07,-0.35,10.01,64.00,19.00,33.00,0.08,0.07,0.08,202,211,228 ,
