"Time","ACC_X.raw","ACC_Y.raw","ACC_Z.raw","ACC_X.norm","ACC_Y.norm","ACC_Z.norm","GYRO_X.raw","GYRO_Y.raw","GYRO_Z.raw","GYRO_X.norm","GYRO_Y.norm","GYRO_Z.norm","Ceramic_Piezo","Film_Piezo","Weighted_Film_Piezo","Vibration_Sensor"
"observation 1","","","","","","","","","","","","","","","",""
"697","80","-560","16716","0.07","-0.36","10.03","66","19","27","0.07","-0.06","-0.07","208","338","204","0"
"1397","232","-612","16916","0.07","-0.36","10.08","63","20","31","-0.12","0.06","-0.01","165","262","190","0"
"2097","180","-556","16776","0.12","-0.35","10.01","65","19","34","0.07","0","0.11","169","306","212","0"
"2797","136","-640","16832","0.13","-0.34","10.07","66","19","29","0.07","-0.12","-0.25","176","221","204","0"
"3496","80","-660","16768","0.12","-0.32","10.05","69","20","34","-0.06","0.12","-0.01","176","163","187","0"
"4197","96","-660","16896","0.08","-0.38","10","67","20","32","0.07","0.06","-0.19","175","168","187","0"
"4896","116","-612","16872","0.07","-0.36","10.13","66","19","30","0","0","-0.19","177","176","190","0"
"5597","220","-628","16900","0.1","-0.38","10.11","63","20","32","-0.18","-0.12","0.11","177","184","193","0"
"6296","184","-608","16788","0.09","-0.34","10.05","66","17","31","-0.24","-0.12","0.05","175","189","195","0"
"6996","260","-672","17012","0.12","-0.34","10.16","66","21","35","0.13","0.12","0.05","176","194","197","0"
"7696","152","-628","16864","0.09","-0.35","10.03","67","20","32","-0.06","0.18","-0.13","176","196","198","0"
"8396","128","-660","16860","0.07","-0.4","10.13","66","20","32","0","0.06","0.11","176","201","201","0"
"9096","156","-600","16708","0.11","-0.31","10.04","65","16","31","-0.06","-0.06","-0.13","177","201","201","0"
"9796","108","-612","16780","0.16","-0.41","10.02","66","18","32","-0.06","-0.12","-0.07","178","199","202","0"
"10495","228","-692","16796","0.08","-0.36","10.07","64","22","31","-0.12","0.06","-0.07","178","200","204","0"
"observation 2","","","","","","","","","","","","","","","",""
"696","228","-624","16904","0.16","-0.38","10.11","63","18","32","-0.06","0.12","0.05","175","212","195","0"
"1396","64","-548","16964","0.11","-0.33","10.07","67","19","33","0.07","0.06","0.05","175","209","197","0"
"2096","232","-672","16900","0.07","-0.37","10.05","63","20","29","-0.06","-0.06","-0.13","180","306","234","0"
"2796","208","-604","16812","0.15","-0.38","10.02","65","22","30","-0.06","0.18","-0.07","182","370","263","0"
"3496","232","-540","16924","0.1","-0.33","10.13","66","20","31","0","-0.12","-0.07","179","205","215","0"
"4196","236","-620","16768","0.17","-0.38","10.14","66","19","29","-0.12","0.06","-0.01","181","176","206","0"
"4895","192","-604","17048","0.1","-0.34","10.19","65","18","31","0","-0.06","0.05","184","173","206","0"
"5596","220","-648","16788","0.1","-0.37","10.04","65","20","27","0.07","0","-0.13","184","185","210","0"
"6295","80","-664","16696","0.1","-0.4","9.98","67","20","33","-0.06","-0.06","0.17","181","194","213","0"
"6996","236","-532","16820","0.11","-0.31","10.1","65","20","33","-0.06","-0.12","0.05","180","191","213","0"
"7695","184","-640","16764","0.11","-0.38","10.03","65","19","31","-0.12","0.06","0.17","183","195","215","0"
"8395","168","-588","16816","0.13","-0.32","10.03","68","19","34","0","0","0.11","184","197","216","0"
"9095","116","-672","16856","0.13","-0.36","10.11","65","20","32","0","0.12","0.05","184","199","218","0"
"9795","196","-556","16824","0.13","-0.37","10.09","66","21","32","-0.06","0.12","0.11","183","200","220","0"
"10496","104","-676","16944","0.15","-0.4","10.11","64","18","32","-0.06","0.24","-0.01","184","200","221","0"
"observation 3","","","","","","","","","","","","","","","",""
"696","164","-592","16812","0.09","-0.39","10.07","66","17","32","0.13","-0.12","0.05","183","204","207","0"
"1397","160","-620","16988","0.09","-0.34","10.12","64","20","35","-0.12","-0.06","0.11","178","204","207","0"
