Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
697,80.00,-560.00,16716.00,0.07,-0.36,10.03,66.00,19.00,27.00,0.07,-0.06,-0.07,208,338,204 ,
1397,232.00,-612.00,16916.00,0.07,-0.36,10.08,63.00,20.00,31.00,-0.12,0.06,-0.01,165,262,190 ,
2097,180.00,-556.00,16776.00,0.12,-0.35,10.01,65.00,19.00,34.00,0.07,-0.00,0.11,169,306,212 ,
2797,136.00,-640.00,16832.00,0.13,-0.34,10.07,66.00,19.00,29.00,0.07,-0.12,-0.25,176,221,204 ,
3496,80.00,-660.00,16768.00,0.12,-0.32,10.05,69.00,20.00,34.00,-0.06,0.12,-0.01,176,163,187 ,
4197,96.00,-660.00,16896.00,0.08,-0.38,10.00,67.00,20.00,32.00,0.07,0.06,-0.19,175,168,187 ,
4896,116.00,-612.00,16872.00,0.07,-0.36,10.13,66.00,19.00,30.00,0.00,-0.00,-0.19,177,176,190 ,
5597,220.00,-628.00,16900.00,0.10,-0.38,10.11,63.00,20.00,32.00,-0.18,-0.12,0.11,177,184,193 ,
6296,184.00,-608.00,16788.00,0.09,-0.34,10.05,66.00,17.00,31.00,-0.24,-0.12,0.05,175,189,195 ,
6996,260.00,-672.00,17012.00,0.12,-0.34,10.16,66.00,21.00,35.00,0.13,0.12,0.05,176,194,197 ,
7696,152.00,-628.00,16864.00,0.09,-0.35,10.03,67.00,20.00,32.00,-0.06,0.18,-0.13,176,196,198 ,
8396,128.00,-660.00,16860.00,0.07,-0.40,10.13,66.00,20.00,32.00,0.00,0.06,0.11,176,201,201 ,
9096,156.00,-600.00,16708.00,0.11,-0.31,10.04,65.00,16.00,31.00,-0.06,-0.06,-0.13,177,201,201 ,
9796,108.00,-612.00,16780.00,0.16,-0.41,10.02,66.00,18.00,32.00,-0.06,-0.12,-0.07,178,199,202 ,
10495,228.00,-692.00,16796.00,0.08,-0.36,10.07,64.00,22.00,31.00,-0.12,0.06,-0.07,178,200,204 ,
button pressed
696,228.00,-624.00,16904.00,0.16,-0.38,10.11,63.00,18.00,32.00,-0.06,0.12,0.05,175,212,195 ,
1396,64.00,-548.00,16964.00,0.11,-0.33,10.07,67.00,19.00,33.00,0.07,0.06,0.05,175,209,197 ,
2096,232.00,-672.00,16900.00,0.07,-0.37,10.05,63.00,20.00,29.00,-0.06,-0.06,-0.13,180,306,234 ,
2796,208.00,-604.00,16812.00,0.15,-0.38,10.02,65.00,22.00,30.00,-0.06,0.18,-0.07,182,370,263 ,
3496,232.00,-540.00,16924.00,0.10,-0.33,10.13,66.00,20.00,31.00,0.00,-0.12,-0.07,179,205,215 ,
4196,236.00,-620.00,16768.00,0.17,-0.38,10.14,66.00,19.00,29.00,-0.12,0.06,-0.01,181,176,206 ,
4895,192.00,-604.00,17048.00,0.10,-0.34,10.19,65.00,18.00,31.00,0.00,-0.06,0.05,184,173,206 ,
5596,220.00,-648.00,16788.00,0.10,-0.37,10.04,65.00,20.00,27.00,0.07,-0.00,-0.13,184,185,210 ,
6295,80.00,-664.00,16696.00,0.10,-0.40,9.98,67.00,20.00,33.00,-0.06,-0.06,0.17,181,194,213 ,
6996,236.00,-532.00,16820.00,0.11,-0.31,10.10,65.00,20.00,33.00,-0.06,-0.12,0.05,180,191,213 ,
7695,184.00,-640.00,16764.00,0.11,-0.38,10.03,65.00,19.00,31.00,-0.12,0.06,0.17,183,195,215 ,
