"Time","ACC_X.raw","ACC_Y.raw","ACC_Z.raw","ACC_X.norm","ACC_Y.norm","ACC_Z.norm","GYRO_X.raw","GYRO_Y.raw","GYRO_Z.raw","GYRO_X.norm","GYRO_Y.norm","GYRO_Z.norm","Ceramic_Piezo","Film_Piezo","Weighted_Film_Piezo","Activity_Name","New_Window"
"695",32,-592,17004,0.03,-0.31,10.09,63,19,34,-0.03,-0.06,0.18,115,200,233,"human_fall","yes"
"1396",-20,-656,16764,-0.03,-0.37,10.1,64,15,32,-0.09,-0.12,0,128,216,267,"human_fall","no"
"2095",48,-592,16816,-0.01,-0.41,10.09,65,16,33,0.15,-0.06,0.18,122,210,257,"human_fall","no"
"2796",-32,-556,16736,-0.03,-0.35,10.07,66,22,32,0.09,0.12,0.06,160,279,382,"human_fall","no"
"3495",40,-600,17012,0.04,-0.33,10.16,64,16,33,-0.09,-0.06,0.06,194,327,471,"human_fall","no"
"4195",-148,-600,16856,-0.04,-0.34,10.1,64,19,32,-0.09,0.12,0.12,206,343,498,"human_fall","no"
"4896",-20,-720,17008,0,-0.41,10.15,66,21,34,0.03,0.12,0.18,207,331,487,"human_fall","no"
"5595",-20,-600,16808,-0.01,-0.36,10.01,70,17,34,0.03,-0.12,0.12,191,309,456,"human_fall","no"
"6296",4,-668,16784,0.09,-0.33,10.05,66,21,33,-0.09,0.06,0.06,186,294,412,"human_fall","no"
"6995",-24,-692,16876,0,-0.32,10.1,66,17,30,0.21,-0.12,-0.18,172,272,387,"human_fall","no"
"7695",-76,-584,16876,-0.11,-0.42,10.07,64,16,32,0.03,-0.06,0,168,250,354,"human_fall","no"
"8395",24,-620,16904,0,-0.36,10.08,63,17,34,0.03,-0.12,0.12,156,235,321,"human_fall","no"
"9095",112,-652,16824,-0.01,-0.36,10.03,64,19,33,-0.03,-0.06,0.12,146,207,284,"human_fall","no"
"9795",-48,-604,16976,0.02,-0.38,10.18,63,17,33,0.03,0,0,134,190,259,"human_fall","no"
"10495",-20,-528,16968,-0.07,-0.35,10.11,66,18,37,0.09,-0.06,0.18,134,196,249,"human_fall","no"
"697",24,-636,17016,0.01,-0.38,10.18,68,19,31,0.03,0.06,0,114,168,201,"human_fall","yes"
"1396",0,-652,16980,-0.03,-0.35,10.17,66,19,30,-0.03,-0.12,-0.12,111,168,205,"human_fall","no"
"2096",-16,-684,16752,0,-0.4,10.07,61,21,32,-0.21,0.18,-0.06,114,173,209,"human_fall","no"
"2796",60,-664,16892,0,-0.4,10.2,64,19,35,0.03,-0.06,0,139,200,282,"human_fall","no"
"3496",-124,-584,16996,-0.03,-0.36,10.06,66,17,31,-0.03,-0.06,-0.06,147,223,328,"human_fall","no"
"4196",-40,-660,16960,0.02,-0.39,10.14,65,20,32,0.03,0.06,0,154,235,327,"human_fall","no"
"4896",-68,-548,16988,-0.03,-0.42,10.13,66,20,30,0.03,0.18,0.06,153,235,334,"human_fall","no"
"5595",-64,-696,17000,-0.04,-0.42,10.17,66,19,33,0.03,-0.19,0,152,232,327,"human_fall","no"
"6296",-36,-604,16964,0.01,-0.34,10.08,68,21,33,0.09,0,0.12,148,238,313,"human_fall","no"
"6995",-124,-684,17064,-0.07,-0.35,10.19,64,17,33,-0.03,-0.12,0,144,221,283,"human_fall","no"
"7696",80,-528,17028,0.04,-0.37,10.12,67,21,33,-0.03,0.06,-0.06,136,209,267,"human_fall","no"
"8396",16,-588,16892,0.05,-0.37,10.18,65,21,34,-0.09,0.06,-0.06,136,206,261,"human_fall","no"
"9095",40,-584,16844,0.06,-0.34,10.08,70,16,34,0.15,-0.25,0.06,132,201,247,"human_fall","no"
"9796",-4,-584,16808,-0.02,-0.37,10.08,64,18,33,-0.09,-0.12,0.18,131,201,236,"human_fall","no"
"10495",40,-636,16944,0,-0.31,10.12,67,17,32,0.03,-0.25,-0.06,121,189,220,"human_fall","no"
"695",-104,-624,16876,-0.07,-0.39,10.11,67,19,35,-0.09,0.21,0.03,142,203,288,"human_fall","yes"
"1396",-28,-612,16880,-0.07,-0.34,10.13,66,20,34,0.04,-0.04,0.03,153,226,333,"human_fall","no"
"2095",-104,-636,16920,-0.06,-0.37,10.12,66,19,32,0.04,-0.04,0.09,159,222,337,"human_fall","no"
"2796",-124,-584,16860,0,-0.38,10.07,64,22,33,0.1,0.27,-0.04,154,216,317,"human_fall","no"
"3496",-20,-692,16872,-0.02,-0.39,10.06,61,22,33,-0.27,0.02,-0.1,153,213,306,"human_fall","no"
"4195",0,-632,16928,-0.01,-0.33,10.07,65,20,31,-0.09,-0.1,-0.04,230,341,538,"human_fall","no"
"4896",32,-636,16940,0.03,-0.39,10.04,67,19,30,-0.09,-0.1,-0.1,226,362,551,"human_fall","no"
"5595",-72,-500,16800,-0.02,-0.33,10.07,63,16,30,-0.09,-0.1,0.15,226,357,520,"human_fall","no"
"6296",-16,-668,16768,-0.03,-0.38,10.05,64,16,34,-0.21,-0.04,-0.04,223,346,495,"human_fall","no"
"6995",-36,-616,16820,-0.03,-0.37,10.08,64,18,32,-0.02,-0.04,0.03,208,339,477,"human_fall","no"
"7695",-36,-676,16832,0,-0.32,10.11,66,19,31,0.1,0.02,0.09,213,323,447,"human_fall","no"
"8395",-80,-708,16940,-0.06,-0.39,10.1,64,20,35,-0.09,-0.04,0.03,195,302,415,"human_fall","no"
"9095",-120,-544,16896,-0.01,-0.36,10.15,66,19,32,0.04,-0.1,0.03,188,286,384,"human_fall","no"
"9796",-16,-720,16820,-0.03,-0.4,10,63,22,33,0.1,0.08,0.03,177,266,355,"human_fall","no"
"10495",-4,-624,16820,-0.01,-0.37,10.12,66,20,34,0.16,-0.04,0.15,169,252,329,"human_fall","no"
"696",-24,-648,16872,-0.02,-0.37,10.16,62,20,33,-0.21,-0.04,0.03,119,144,182,"human_fall","yes"
"1396",20,-676,16784,0,-0.39,10.04,67,20,34,0.16,0.08,0.03,119,145,186,"human_fall","no"
"2095",-56,-608,16892,0,-0.35,10.05,64,17,29,-0.09,-0.1,-0.16,119,149,196,"human_fall","no"
"2796",-44,-612,16852,0.01,-0.36,10.11,66,15,32,-0.09,-0.1,0.03,128,157,210,"human_fall","no"
"3328",68,-644,16928,0.06,-0.44,10.05,70,38,36,0.1,1.61,-0.04,128,158,215,"human_fall","no"
"4029",20,-600,16896,0.03,-0.33,10.06,66,18,31,0.16,-0.1,0.03,126,165,225,"human_fall","no"
"4728",-12,-608,16964,-0.01,-0.35,10.05,66,18,31,0.1,0.02,-0.16,209,332,493,"human_fall","no"
"5429",-124,-612,16876,-0.02,-0.35,10.14,67,20,33,0.22,0.02,0.03,223,361,501,"human_fall","no"
"6128",96,-528,16852,0.03,-0.35,10.06,66,20,34,0.04,0.15,0.03,217,358,480,"human_fall","no"
"6828",12,-660,16940,-0.11,-0.39,10.12,65,18,32,-0.02,-0.1,-0.04,214,341,453,"human_fall","no"
"7528",4,-500,16864,0.02,-0.35,10.04,65,19,30,0.16,0.02,-0.04,203,328,422,"human_fall","no"
"8228",24,-548,16888,-0.01,-0.36,10.06,66,19,31,0.1,0.08,-0.04,195,318,406,"human_fall","no"
"8928",36,-644,16860,-0.06,-0.39,10.04,66,19,33,0.04,0.08,0.15,189,292,387,"human_fall","no"
"9628",12,-692,16828,-0.01,-0.38,10.15,65,18,31,-0.09,-0.04,0.03,186,269,366,"human_fall","no"
"10327",40,-592,16880,0.04,-0.37,10.1,66,18,32,0.04,-0.16,0.03,180,246,343,"human_fall","no"
"695",-76,-604,16836,-0.04,-0.32,10.07,63,21,33,-0.02,0.02,0.03,111,158,200,"human_fall","yes"
"1396",-80,-608,16812,-0.08,-0.36,10.13,63,20,34,-0.09,-0.1,0.09,113,164,205,"human_fall","no"
"2095",44,-664,16896,0.15,-0.47,9.96,72,31,32,0.34,1.43,0.03,113,175,212,"human_fall","no"
"2795",-24,-560,16896,-0.04,-0.34,10.17,66,21,34,0.16,0.08,0.03,135,191,243,"human_fall","no"
"3495",-16,-620,16880,0.01,-0.38,10.04,67,20,32,0.1,0.08,-0.04,221,352,526,"human_fall","no"
"4195",-92,-628,16876,-0.01,-0.36,10.12,64,18,32,-0.15,-0.04,-0.04,230,376,555,"human_fall","no"
"4895",-108,-728,16864,-0.08,-0.44,10.04,64,16,34,-0.09,-0.16,-0.04,215,405,560,"human_fall","no"
"5595",-92,-500,16896,-0.04,-0.32,10.04,63,19,33,-0.15,-0.1,-0.16,211,406,531,"human_fall","no"
"6295",-72,-588,16724,0,-0.37,10.1,66,19,31,-0.02,-0.1,-0.22,212,421,530,"human_fall","no"
"6995",-8,-668,16932,0,-0.37,10.12,61,19,32,-0.09,0.08,0.03,217,408,512,"human_fall","no"
"7695",-40,-544,16840,0.02,-0.37,10.03,64,18,33,-0.09,0.08,-0.1,198,393,483,"human_fall","no"
"8395",12,-652,16744,-0.05,-0.34,10.09,62,21,32,-0.21,0.02,0.09,194,359,453,"human_fall","no"
"9095",-28,-648,16904,-0.08,-0.4,10.13,61,18,34,-0.21,0.21,0.09,190,341,423,"human_fall","no"
"9794",-12,-608,16764,-0.01,-0.34,10.06,69,18,34,0.04,-0.16,0.09,187,348,423,"human_fall","no"
"10495",-8,-548,17044,-0.06,-0.35,10.14,67,19,32,-0.02,-0.04,0.03,188,336,421,"human_fall","no"
"696",92,-708,16856,0.01,-0.41,10.07,65,18,34,-0.08,0.13,0,140,171,207,"human_fall","yes"
"1396",-64,-604,16800,-0.05,-0.42,10.01,68,19,32,0.05,-0.11,-0.06,129,167,214,"human_fall","no"
"2096",-112,-508,16736,-0.01,-0.36,10.09,65,18,35,0.23,-0.11,0,128,159,198,"human_fall","no"
"2795",-16,-572,16992,-0.02,-0.33,10.19,66,17,32,0.17,-0.05,-0.12,171,193,328,"human_fall","no"
"3496",-92,-576,16940,0.01,-0.33,10.08,65,20,31,-0.08,0.07,-0.18,222,304,512,"human_fall","no"
"4195",-60,-520,16824,0.05,-0.39,10.15,64,21,33,-0.08,-0.05,0,228,322,499,"human_fall","no"
"4896",56,-588,16956,0.04,-0.37,10.09,65,18,33,-0.02,0.07,-0.18,228,332,471,"human_fall","no"
"5596",12,-568,16888,0.02,-0.36,10.18,64,23,32,-0.08,0.13,-0.06,222,327,455,"human_fall","no"
"6296",-84,-596,16776,0.01,-0.33,10.02,63,18,33,0.05,0.01,0.06,212,312,428,"human_fall","no"
"6996",-8,-640,16904,0.01,-0.41,10.04,65,19,33,0.05,-0.11,-0.06,204,291,399,"human_fall","no"
"7695",64,-572,16896,0.07,-0.38,9.97,65,19,31,-0.14,0.01,0,188,270,354,"human_fall","no"
"8396",72,-672,16884,0,-0.32,10.11,66,22,31,0.05,0.13,-0.3,180,250,320,"human_fall","no"
"9095",40,-608,16952,0,-0.36,10.12,65,16,35,-0.02,-0.05,0.06,171,223,293,"human_fall","no"
"9796",-44,-596,16984,-0.02,-0.36,10.16,64,16,31,-0.08,-0.11,-0.18,159,200,257,"human_fall","no"
"10495",-56,-604,16756,-0.05,-0.38,10.06,64,17,32,0.11,-0.05,0.06,153,190,233,"human_fall","no"
"695",-28,-592,16856,-0.03,-0.32,10.08,69,21,32,0.11,0.13,-0.06,110,144,158,"human_fall","yes"
"1396",-8,-556,16996,-0.06,-0.35,10.18,61,19,34,-0.2,-0.17,0,112,146,166,"human_fall","no"
"2096",48,-560,16820,-0.02,-0.37,10.08,65,19,30,0.17,0.01,-0.06,114,153,173,"human_fall","no"
"2796",-68,-672,16784,-0.04,-0.34,10.08,64,21,30,-0.02,-0.11,-0.3,119,169,194,"human_fall","no"
"3496",0,-640,16908,-0.01,-0.38,10.13,66,21,32,-0.02,0.07,-0.06,196,251,429,"human_fall","no"
"4195",-88,-660,16900,-0.03,-0.38,10.16,63,20,32,-0.08,-0.05,0.06,208,276,460,"human_fall","no"
"4896",-24,-580,16812,-0.03,-0.36,10.08,66,18,33,-0.02,-0.11,-0.06,204,284,446,"human_fall","no"
"5595",-104,-588,16744,0,-0.35,10.03,68,18,32,0.05,-0.05,-0.06,197,284,417,"human_fall","no"
"6296",60,-636,16832,-0.03,-0.36,10.15,65,20,31,0.05,0.01,0,202,271,388,"human_fall","no"
"6995",-60,-600,16900,-0.01,-0.33,10.1,67,21,33,-0.02,0.07,-0.06,192,259,360,"human_fall","no"
"7695",4,-672,16988,0.01,-0.37,10.18,66,20,33,0.11,0.07,-0.06,181,241,326,"human_fall","no"
"8395",-48,-708,16864,-0.03,-0.38,10.08,64,16,30,-0.08,-0.05,0.19,172,235,300,"human_fall","no"
"9095",12,-616,16912,-0.01,-0.38,10.08,65,19,34,-0.02,-0.05,0.19,163,227,269,"human_fall","no"
"9796",-32,-652,16928,0,-0.37,10.09,65,17,32,-0.08,0.01,-0.24,159,214,246,"human_fall","no"
