"Time","ACC_X.raw","ACC_Y.raw","ACC_Z.raw","ACC_X.norm","ACC_Y.norm","ACC_Z.norm","GYRO_X.raw","GYRO_Y.raw","GYRO_Z.raw","GYRO_X.norm","GYRO_Y.norm","GYRO_Z.norm","Ceramic_Piezo","Film_Piezo","Weighted_Film_Piezo","Vibration_Sensor"
"observation 1","","","","","","","","","","","","","","","",""
"696","148","-532","16892","0.15","-0.28","10.09","63","19","29","0.01","0.14","-0.26","195","132","126","0"
"1396","132","-548","16888","0.05","-0.3","10.08","68","18","30","0.01","0.01","-0.08","148","133","132","0"
"2096","12","-492","16756","0.06","-0.37","10.02","66","21","33","-0.05","-0.05","0.1","149","137","138","0"
"2795","184","-628","16944","0.13","-0.35","10.12","64","20","33","-0.17","0.07","-0.02","152","145","142","0"
"3496","108","-568","16740","0.04","-0.37","10.03","63","18","33","-0.05","0.01","-0.02","152","171","153","0"
"4196","156","-600","16876","0.1","-0.32","10.01","66","20","31","-0.11","0.01","0.04","154","149","152","0"
"4896","72","-640","16964","0.07","-0.29","10.16","67","18","32","0.01","-0.23","-0.14","155","150","155","0"
"5596","184","-592","16628","0.08","-0.35","10.02","68","20","32","0.01","0.07","0.17","155","154","158","0"
"6295","256","-596","16812","0.13","-0.33","10.06","65","25","34","-0.29","0.14","0.17","158","157","163","0"
"6996","180","-580","16876","0.03","-0.33","10.13","63","21","33","-0.05","0.07","-0.08","158","156","166","0"
"7695","164","-600","16780","0.07","-0.33","10.09","65","18","31","-0.05","-0.17","0.1","159","159","169","0"
"8396","148","-612","16884","0.05","-0.38","10.12","65","19","30","0.01","0.07","-0.02","160","158","171","0"
"9095","100","-552","16704","0.04","-0.37","10.07","64","17","29","-0.05","-0.23","0.1","161","165","172","0"
"9795","228","-640","16876","0.14","-0.37","10.09","66","18","32","0.07","0.07","-0.02","161","161","173","0"
"10495","68","-620","16928","0.09","-0.33","10.1","67","21","31","0.13","0.01","0.1","161","162","176","0"
"observation 2","","","","","","","","","","","","","","","",""
"695","180","-588","16864","0.11","-0.33","10.08","67","15","32","0.01","-0.23","-0.02","161","173","182","0"
"1396","96","-612","16836","0.08","-0.34","10.09","64","17","33","-0.05","0.01","0.23","160","182","187","0"
