Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
696,148.00,-532.00,16892.00,0.15,-0.28,10.09,63.00,19.00,29.00,0.01,0.14,-0.26,195,132,126 ,
1396,132.00,-548.00,16888.00,0.05,-0.30,10.08,68.00,18.00,30.00,0.01,0.01,-0.08,148,133,132 ,
2096,12.00,-492.00,16756.00,0.06,-0.37,10.02,66.00,21.00,33.00,-0.05,-0.05,0.10,149,137,138 ,
2795,184.00,-628.00,16944.00,0.13,-0.35,10.12,64.00,20.00,33.00,-0.17,0.07,-0.02,152,145,142 ,
3496,108.00,-568.00,16740.00,0.04,-0.37,10.03,63.00,18.00,33.00,-0.05,0.01,-0.02,152,171,153 ,
4196,156.00,-600.00,16876.00,0.10,-0.32,10.01,66.00,20.00,31.00,-0.11,0.01,0.04,154,149,152 ,
4896,72.00,-640.00,16964.00,0.07,-0.29,10.16,67.00,18.00,32.00,0.01,-0.23,-0.14,155,150,155 ,
5596,184.00,-592.00,16628.00,0.08,-0.35,10.02,68.00,20.00,32.00,0.01,0.07,0.17,155,154,158 ,
6295,256.00,-596.00,16812.00,0.13,-0.33,10.06,65.00,25.00,34.00,-0.29,0.14,0.17,158,157,163 ,
6996,180.00,-580.00,16876.00,0.03,-0.33,10.13,63.00,21.00,33.00,-0.05,0.07,-0.08,158,156,166 ,
7695,164.00,-600.00,16780.00,0.07,-0.33,10.09,65.00,18.00,31.00,-0.05,-0.17,0.10,159,159,169 ,
8396,148.00,-612.00,16884.00,0.05,-0.38,10.12,65.00,19.00,30.00,0.01,0.07,-0.02,160,158,171 ,
9095,100.00,-552.00,16704.00,0.04,-0.37,10.07,64.00,17.00,29.00,-0.05,-0.23,0.10,161,165,172 ,
9795,228.00,-640.00,16876.00,0.14,-0.37,10.09,66.00,18.00,32.00,0.07,0.07,-0.02,161,161,173 ,
10495,68.00,-620.00,16928.00,0.09,-0.33,10.10,67.00,21.00,31.00,0.13,0.01,0.10,161,162,176 ,
button pressed
695,180.00,-588.00,16864.00,0.11,-0.33,10.08,67.00,15.00,32.00,0.01,-0.23,-0.02,161,173,182 ,
1396,96.00,-612.00,16836.00,0.08,-0.34,10.09,64.00,17.00,33.00,-0.05,0.01,0.23,160,182,187 ,
2095,108.00,-504.00,16820.00,0.06,-0.30,10.06,63.00,17.00,32.00,0.07,-0.17,0.10,163,181,187 ,
2796,168.00,-628.00,16960.00,0.08,-0.33,10.12,67.00,19.00,31.00,0.01,-0.11,-0.02,159,168,182 ,
3495,172.00,-516.00,16764.00,0.10,-0.40,10.04,66.00,17.00,31.00,0.01,-0.05,-0.08,158,174,181 ,
4195,180.00,-576.00,16828.00,0.14,-0.34,10.14,66.00,20.00,31.00,-0.17,0.01,0.04,159,190,189 ,
4896,136.00,-548.00,16780.00,0.02,-0.34,10.16,66.00,17.00,33.00,0.07,0.14,0.10,163,189,190 ,
5595,184.00,-568.00,17076.00,0.11,-0.35,10.09,67.00,16.00,29.00,0.07,-0.17,-0.14,165,198,196 ,
